8;8O-8E0;8H:8;;;;;;;
@>3=>7 <0:A8<0;L=>3> C@>2=O 2>4K =0 2024 3>4;;;;;;;
;;;;;;;
Group;Hmax;Criterion;Correlation;Pm;Method;Predictors;Equations
1;223;0.886;0.463;53.333;LassoLarsCV;Smax, H_2802, X, X1, X3, L_max, Y_sum; - 79.983 + 0.844*Smax + 0.343*H_2802 + 0.44*X - 0.003*X1 + 0.476*X3 + 1.45*L_max + 0.046*Y_sum
1;223;0.887;0.461;53.333;LassoCV;Smax, H_2802, X, X1, X3, L_max, Y_sum; - 81.515 + 0.85*Smax + 0.342*H_2802 + 0.44*X - 0.003*X1 + 0.473*X3 + 1.457*L_max + 0.081*Y_sum
1;226;0.890;0.457;56.667;ElasticNetCV;Smax, H_2802, X, X1, X3, L_max, Y_sum; - 85.21 + 0.862*Smax + 0.341*H_2802 + 0.439*X - 0.008*X1 + 0.462*X3 + 1.464*L_max + 0.19*Y_sum
1;228;0.891;0.453;56.667;BayesianRidge;Smax, H_2802, X, X1, X3, L_max, Y_sum; - 88.322 + 0.874*Smax + 0.341*H_2802 + 0.439*X - 0.007*X1 + 0.456*X3 + 1.478*L_max + 0.256*Y_sum
1;228;0.892;0.452;56.667;RidgeCV;Smax, H_2802, X, X1, X3, L_max, Y_sum; - 89.992 + 0.882*Smax + 0.34*H_2802 + 0.438*X - 0.003*X1 + 0.453*X3 + 1.492*L_max + 0.275*Y_sum
1;228;0.892;0.452;56.667;Lars10;Smax, H_2802, X, X1, X3, L_max, Y_sum; - 89.997 + 0.882*Smax + 0.34*H_2802 + 0.438*X - 0.003*X1 + 0.453*X3 + 1.492*L_max + 0.275*Y_sum
1;228;0.892;0.452;56.667;Lars11;Smax, H_2802, X, X1, X3, L_max, Y_sum; - 89.997 + 0.882*Smax + 0.34*H_2802 + 0.438*X - 0.003*X1 + 0.453*X3 + 1.492*L_max + 0.275*Y_sum
1;228;0.892;0.452;56.667;Lars12;Smax, H_2802, X, X1, X3, L_max, Y_sum; - 89.997 + 0.882*Smax + 0.34*H_2802 + 0.438*X - 0.003*X1 + 0.453*X3 + 1.492*L_max + 0.275*Y_sum
1;228;0.892;0.452;56.667;Lars13;Smax, H_2802, X, X1, X3, L_max, Y_sum; - 89.997 + 0.882*Smax + 0.34*H_2802 + 0.438*X - 0.003*X1 + 0.453*X3 + 1.492*L_max + 0.275*Y_sum
1;228;0.892;0.452;56.667;Lars14;Smax, H_2802, X, X1, X3, L_max, Y_sum; - 89.997 + 0.882*Smax + 0.34*H_2802 + 0.438*X - 0.003*X1 + 0.453*X3 + 1.492*L_max + 0.275*Y_sum
1;228;0.892;0.452;56.667;Lars7;Smax, H_2802, X, X1, X3, L_max, Y_sum; - 89.997 + 0.882*Smax + 0.34*H_2802 + 0.438*X - 0.003*X1 + 0.453*X3 + 1.492*L_max + 0.275*Y_sum
1;228;0.892;0.452;56.667;Lars8;Smax, H_2802, X, X1, X3, L_max, Y_sum; - 89.997 + 0.882*Smax + 0.34*H_2802 + 0.438*X - 0.003*X1 + 0.453*X3 + 1.492*L_max + 0.275*Y_sum
1;228;0.892;0.452;56.667;Lars9;Smax, H_2802, X, X1, X3, L_max, Y_sum; - 89.997 + 0.882*Smax + 0.34*H_2802 + 0.438*X - 0.003*X1 + 0.453*X3 + 1.492*L_max + 0.275*Y_sum
1;228;0.892;0.452;56.667;LinearRegression;Smax, H_2802, X, X1, X3, L_max, Y_sum; - 89.997 + 0.882*Smax + 0.34*H_2802 + 0.438*X - 0.003*X1 + 0.453*X3 + 1.492*L_max + 0.275*Y_sum
1;228;0.892;0.452;56.667;OMP7;Smax, H_2802, X, X1, X3, L_max, Y_sum; - 89.997 + 0.882*Smax + 0.34*H_2802 + 0.438*X - 0.003*X1 + 0.453*X3 + 1.492*L_max + 0.275*Y_sum
1;228;0.892;0.452;56.667;OMP6;Smax, H_2802, X, X3, L_max, Y_sum; - 90.356 + 0.883*Smax + 0.34*H_2802 + 0.44*X + 0.453*X3 + 1.493*L_max + 0.275*Y_sum
0;326;0.903;0.429;43.333;OMP11;Smax, H_2802, X, X1, X2, X3, Xs, L_max, L_2802, Q12, Q01; - 76.735 + 0.788*Smax + 0.422*H_2802 - 0.997*X - 1.4*X1 + 1.87*X2 + 0.595*X3 + 1.509*Xs - 1.514*L_max + 2.804*L_2802 - 1.084*Q12 + 0.631*Q01
1;241;0.905;0.424;53.333;OMP3;X, X3, L_max; - 49.379 + 0.782*X + 0.64*X3 + 1.537*L_max
1;224;0.906;0.424;46.667;RandomForestRegressor;;
1;204;0.909;0.416;53.333;OMP4;Smax, X, X3, L_max; - 53.804 + 0.92*Smax + 0.438*X + 0.593*X3 + 1.481*L_max
0;346;0.913;0.408;43.333;OMP12;Smax, H_2802, X, X1, X2, X3, Xs, L_max, L_2802, Q12, Q01, Q02; - 85.655 + 0.785*Smax + 0.382*H_2802 - 1.04*X - 1.464*X1 + 1.857*X2 + 0.567*X3 + 1.546*Xs - 1.389*L_max + 2.824*L_2802 - 1.127*Q12 + 0.346*Q01 + 0.638*Q02
0;363;0.915;0.402;50.000;RidgeCV;S_2802, Smax, H_2802, X, X1, X2, X3, Xs, L_max, L_2802, Q12, Q01, Q02, Y_sum; - 101.991 + 0.039*S_2802 + 0.809*Smax + 0.368*H_2802 - 1.121*X - 1.525*X1 + 1.859*X2 + 0.526*X3 + 1.641*Xs - 1.038*L_max + 2.605*L_2802 + 66.681*Q12 + 67.81*Q01 + 61.923*Q02 - 260.045*Y_sum
2;216;0.916;0.402;50.000;Lars2;S_2802, L_2802;215.056 + 0.338*S_2802 + 0.073*L_2802
1;244;0.916;0.402;70.000;AdaBoostRegressor;;
0;370;0.925;0.381;56.667;LinearRegression;S_2802, Smax, H_2802, X, X1, X2, X3, Xs, L_max, L_2802, Q12, Q01, Q02, Y_sum; - 109.852 + 0.058*S_2802 + 0.82*Smax + 0.362*H_2802 - 1.16*X - 1.555*X1 + 1.86*X2 + 0.507*X3 + 1.686*Xs - 0.869*L_max + 2.5*L_2802 + 99.32*Q12 + 100.284*Q01 + 91.422*Q02 - 385.217*Y_sum
0;370;0.925;0.381;56.667;OMP14;S_2802, Smax, H_2802, X, X1, X2, X3, Xs, L_max, L_2802, Q12, Q01, Q02, Y_sum; - 109.852 + 0.058*S_2802 + 0.82*Smax + 0.362*H_2802 - 1.16*X - 1.555*X1 + 1.86*X2 + 0.507*X3 + 1.686*Xs - 0.869*L_max + 2.5*L_2802 + 99.32*Q12 + 100.284*Q01 + 91.422*Q02 - 385.217*Y_sum
